type_annonce,titre,location,date,modele,transsmission,carburant,image,propriétere,link,ville,quartier
Voitures d'occasion,audi q7 exclusif,"casablanca, maarif",il y a 1 heure,2017,Automatique,Diesel,N/A,AUTO REDA,https://www.avito.ma/fr/maarif/voitures_d_occasion/AUDI_Q7_EXCLUSIF_57182616.htm,casablanca,maarif
Voitures d'occasion,stellantis - jeep renegade - 2024,"bouskoura, bouskoura centre",il y a 1 heure,2024,Automatique,Essence,N/A,Stellantis You Casablanca,https://www.avito.ma/fr/bouskoura_centre/voitures_d_occasion/Stellantis___JEEP_Renegade___2024_56820609.htm,bouskoura,bouskoura centre
Voitures d'occasion,citroën c-elysée diesel manuelle 2023 à casablanca,"casablanca, anfa",il y a 1 heure,2023,Manuelle,Diesel,N/A,Stellantis You Casablanca,https://www.avito.ma/fr/anfa/voitures_d_occasion/Citroën_C_Elysée_Diesel_Manuelle_2023_à_Casablanca_56797812.htm,casablanca,anfa
Voitures d'occasion,alfa romeo giulia veloce,"casablanca, anfa",il y a 1 heure,2024,Automatique,Diesel,N/A,Stellantis You Casablanca,https://www.avito.ma/fr/anfa/voitures_d_occasion/Alfa_Romeo_Giulia_Veloce_56103545.htm,casablanca,anfa
Voitures d'occasion,alfa romeo stelvio quadrifoglio v6 bi-trubo 510ch,"casablanca, anfa",il y a 1 heure,2022,Automatique,Essence,N/A,Stellantis You Casablanca,https://www.avito.ma/fr/anfa/voitures_d_occasion/Alfa_Romeo_Stelvio_Quadrifoglio_V6_Bi_trubo_510CH_55771565.htm,casablanca,anfa
Voitures de location,kia carens 2024 6 places,"casablanca, maarif",il y a 1 heure,,N/A,N/A,N/A,HORENT CAR,https://www.avito.ma/fr/maarif/voitures_de_location/Kia_Carens_2024_6_places_54323569.htm,casablanca,maarif
Voitures d'occasion,stellantis - suzuki swift - 2024,"casablanca, ain sebaa",il y a 1 heure,2024,Automatique,Essence,N/A,SPOTICAR MOULAY SLIMANE,https://www.avito.ma/fr/ain_sebaa/voitures_d_occasion/Stellantis___SUZUKI_Swift___2024_56899260.htm,casablanca,ain sebaa
Voitures d'occasion,kia ceed gt line 2021. sale el jadida,"rabat, autre secteur",il y a 1 heure,2021,Manuelle,Diesel,N/A,Auto arfoud,https://www.avito.ma/fr/autre_secteur/voitures_d_occasion/Kia_Ceed_GT_line_2021__Sale_el_Jadida_50976901.htm,rabat,autre secteur
Voitures d'occasion,stellantis - alfa romeo giulia - 2024,"bouskoura, bouskoura centre",il y a 1 heure,2024,Automatique,Diesel,N/A,Stellantis You Casablanca,https://www.avito.ma/fr/bouskoura_centre/voitures_d_occasion/Stellantis___ALFA_ROMEO_Giulia___2024_56844521.htm,bouskoura,bouskoura centre
Voitures d'occasion,skoda kodiaq,"casablanca, maarif",il y a 5 heures,2021,Automatique,Diesel,https://content.avito.ma/classifieds/images/10144972625?t=images,Voitures particuliers certifiées,https://www.avito.ma/fr/maarif/voitures_d_occasion/skoda_kodiaq_57427579.htm,casablanca,maarif
Voitures de location,location de voiture volkswagen golf 8.5,"casablanca, 2 mars",il y a 1 heure,,N/A,N/A,https://content.avito.ma/classifieds/images/10136355339?t=images,ARISTO LOCA CAR,https://www.avito.ma/fr/2_mars/voitures_de_location/location_de_voiture_Volkswagen_Golf_8_5_56623794.htm,casablanca,2 mars
Voitures d'occasion,mercedes-benz classe gle diesel automatique 2022,"casablanca, aïn chock",il y a 4 heures,2022,Automatique,Diesel,https://content.avito.ma/classifieds/images/10144228145?t=images,RT auto,https://www.avito.ma/fr/aïn_chock/voitures_d_occasion/Mercedes_Benz_Classe_GLE_Diesel_Automatique_2022_57429230.htm,casablanca,aïn chock
Voitures d'occasion,mercedes-benz classe e 300d,"casablanca, maarif",il y a 1 heure,2023,Automatique,Diesel,N/A,AUTO REDA,https://www.avito.ma/fr/maarif/voitures_d_occasion/MERCEDES_BENZ_CLASSE_E_300d_57089831.htm,casablanca,maarif
Voitures d'occasion,range rover bb velar,"casablanca, maarif",il y a 1 heure,2020,Automatique,Diesel,N/A,AUTO REDA,https://www.avito.ma/fr/maarif/voitures_d_occasion/Range_Rover_Bb_velar_55965716.htm,casablanca,maarif
Voitures d'occasion,citroën c-elysée diesel manuelle 2023 à casablanca,"casablanca, anfa",il y a 1 heure,2023,Manuelle,Diesel,N/A,Stellantis You Casablanca,https://www.avito.ma/fr/anfa/voitures_d_occasion/Citroën_C_Elysée_Diesel_Manuelle_2023_à_Casablanca_56797812.htm,casablanca,anfa
Voitures d'occasion,duster à vendre,"marrakech, annakhil",il y a 1 heure,2015,Manuelle,Diesel,N/A,radouan lachgar,https://www.avito.ma/fr/annakhil/voitures_d_occasion/Duster_à_vendre_57508779.htm,marrakech,annakhil
Voitures d'occasion,peugeot 301 diesel manuelle 2023 à casablanca,"casablanca, anfa",il y a 1 heure,2023,Manuelle,Diesel,N/A,Stellantis You Casablanca,https://www.avito.ma/fr/anfa/voitures_d_occasion/Peugeot_301_Diesel_Manuelle_2023_à_Casablanca_56796851.htm,casablanca,anfa
Voitures d'occasion,cadillac escalade,"casablanca, maarif",il y a 1 heure,2020,Automatique,Essence,N/A,AUTO REDA,https://www.avito.ma/fr/maarif/voitures_d_occasion/CADILLAC_ESCALADE_56758808.htm,casablanca,maarif
Voitures d'occasion,stellantis - peugeot 301 - 2023,"casablanca, ain sebaa",il y a 1 heure,2023,Manuelle,Diesel,N/A,SPOTICAR MOULAY SLIMANE,https://www.avito.ma/fr/ain_sebaa/voitures_d_occasion/Stellantis___PEUGEOT_301___2023_57302736.htm,casablanca,ain sebaa
Voitures d'occasion,stellantis - suzuki swift - 2024,"casablanca, ain sebaa",il y a 1 heure,2024,Automatique,Essence,N/A,SPOTICAR MOULAY SLIMANE,https://www.avito.ma/fr/ain_sebaa/voitures_d_occasion/Stellantis___SUZUKI_Swift___2024_56899253.htm,casablanca,ain sebaa
Voitures d'occasion,stellantis - alfa romeo stelvio - 2022,"casablanca, ain sebaa",il y a 1 heure,2022,Automatique,Diesel,N/A,SPOTICAR MOULAY SLIMANE,https://www.avito.ma/fr/ain_sebaa/voitures_d_occasion/Stellantis___ALFA_ROMEO_Stelvio___2022_56899286.htm,casablanca,ain sebaa
Voitures d'occasion,ford kuga diesel automatique 2021 à casablanca,"casablanca, anfa",il y a 1 heure,2021,Automatique,Diesel,N/A,Stellantis You Casablanca,https://www.avito.ma/fr/anfa/voitures_d_occasion/Ford_Kuga_Diesel_Automatique_2021_à_Casablanca_56796749.htm,casablanca,anfa
Voitures d'occasion,range rover velar,"casablanca, maarif",il y a 1 heure,2023,Automatique,Diesel,N/A,AUTO REDA,https://www.avito.ma/fr/maarif/voitures_d_occasion/Range_Rover_VELAR_56371202.htm,casablanca,maarif
Voitures d'occasion,jaguar xe en très bon état,"rabat, hay el fath",il y a 1 heure,2018,Automatique,Diesel,N/A,sanaa,https://www.avito.ma/fr/hay_el_fath/voitures_d_occasion/Jaguar_XE_en_très_bon_état_57446708.htm,rabat,hay el fath
Voitures d'occasion,mercedes-benz classe c 220d 2020,"casablanca, maarif",il y a 1 heure,2020,Automatique,Diesel,N/A,Car and Shop,https://www.avito.ma/fr/maarif/voitures_d_occasion/Mercedes_Benz_Classe_C_220d_2020_56943128.htm,casablanca,maarif
Voitures d'occasion,nissan qashqai,"rabat, hassan",il y a 1 heure,2017,Manuelle,Diesel,N/A,Taha Wadii,https://www.avito.ma/fr/hassan/voitures_d_occasion/Nissan_Qashqai_54382568.htm,rabat,hassan
Voitures d'occasion,volkswagen tiguan diesel automatique 2017,"tétouan, safir",il y a 1 heure,2017,Automatique,Diesel,N/A,auto confort 44,https://www.avito.ma/fr/safir/voitures_d_occasion/Volkswagen_Tiguan_Diesel_Automatique_2017_57433845.htm,tétouan,safir
Voitures d'occasion,seat ateca expertisée avec financement,"casablanca, ain sebaa",il y a 1 heure,2024,Automatique,Diesel,N/A,autocash.ma,https://www.avito.ma/fr/ain_sebaa/voitures_d_occasion/Seat_Ateca_expertisée_avec_financement_57419101.htm,casablanca,ain sebaa
Voitures d'occasion,renault master diesel manuelle 2021 à casablanca,"casablanca, ain sebaa",il y a 1 heure,2021,Manuelle,Diesel,N/A,autocash.ma,https://www.avito.ma/fr/ain_sebaa/voitures_d_occasion/Renault_Master_Diesel_Manuelle_2021_à_Casablanca_57419382.htm,casablanca,ain sebaa
Voitures d'occasion,fiat 500 essence automatique 2024 à casablanca,"casablanca, anfa",il y a 1 heure,2024,Automatique,Essence,N/A,Stellantis You Casablanca,https://www.avito.ma/fr/anfa/voitures_d_occasion/Fiat_500_Essence_Automatique_2024_à_Casablanca_55858117.htm,casablanca,anfa
Voitures d'occasion,stellantis - suzuki swift - 2024,"bouskoura, bouskoura centre",il y a 1 heure,2024,Automatique,Essence,N/A,Stellantis You Casablanca,https://www.avito.ma/fr/bouskoura_centre/voitures_d_occasion/Stellantis___SUZUKI_Swift___2024_56820634.htm,bouskoura,bouskoura centre
Voitures d'occasion,audi q8 50tdi s line exclusive 2026,"kénitra, centre",il y a 1 heure,2026,Automatique,Diesel,N/A,C-Cars,https://www.avito.ma/fr/centre/voitures_d_occasion/Audi_Q8_50TDI_S_Line_exclusive_2026_57441066.htm,kénitra,centre
Voitures d'occasion,volkswagen golf 8 diesel automatique 2021 à rabat,"rabat, hay riad",il y a 1 heure,2021,Automatique,Diesel,N/A,Auto design,https://www.avito.ma/fr/hay_riad/voitures_d_occasion/Volkswagen_Golf_8_Diesel_Automatique_2021_à_Rabat_57168781.htm,rabat,hay riad
Voitures d'occasion,stellantis - peugeot 301 - 2023,"casablanca, ain sebaa",il y a 1 heure,2023,Manuelle,Diesel,N/A,SPOTICAR MOULAY SLIMANE,https://www.avito.ma/fr/ain_sebaa/voitures_d_occasion/Stellantis___PEUGEOT_301___2023_57302746.htm,casablanca,ain sebaa
Voitures d'occasion,maserati levante,"casablanca, maarif",il y a 1 heure,2017,Automatique,Diesel,N/A,AUTO REDA,https://www.avito.ma/fr/maarif/voitures_d_occasion/Maserati_Levante_56557268.htm,casablanca,maarif
Voitures d'occasion,maserati ghibli,"casablanca, maarif",il y a 1 heure,2015,Automatique,Diesel,N/A,AUTO REDA,https://www.avito.ma/fr/maarif/voitures_d_occasion/MASERATI_GHIBLI_57052390.htm,casablanca,maarif
Voitures d'occasion,la novelle audi q5 sportback,"casablanca, californie",il y a 1 heure,2026,Automatique,Hybride,N/A,JAY AUTO HOUSE,https://www.avito.ma/fr/californie/voitures_d_occasion/la_novelle_audi_Q5_sportback_57492617.htm,casablanca,californie
