,lien,titre annonce,price,spans,proprietere,tags,images
62,https://www.avito.ma/fr/beauséjour/voitures_de_location/Dacia_Sandero___Location_pas_chère_Casablanca_57396905.htm,Dacia Sandero – Location pas chère Casablanca,,"['Beauséjour, Casablanca', 'il y a 21 minutes', 'Beauséjour, Casablanca', 'il y a 21 minutes']",1 service car,"['Voitures de location, à louer']","['https://content.avito.ma/classifieds/images/10143919501?t=images', 'https://content.avito.ma/classifieds/images/10143919504?t=images', 'https://content.avito.ma/classifieds/images/10143919501?t=images', 'https://content.avito.ma/classifieds/images/10143919504?t=images']"
63,https://www.avito.ma/fr/centre/voitures_d_occasion/VW_UP_GTI_6cv_2018_Dédouanée_2023_Toutes_Options_57174991.htm,VW UP GTI 6cv 2018 Dédouanée 2023 Toutes Options,Prix à la baisse168 000 DH,"['Centre, Tanger', 'il y a 21 minutes', 'Centre, Tanger', 'il y a 21 minutes']",AUTOMOBILES TINGIS,"[""Voitures d'occasion, à vendre"", '2018', 'Manuelle', 'Essence', '100000', 'Volkswagen', 'UP', 'ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Caméra de recul', 'Climatisation', 'ESP']","['https://content.avito.ma/classifieds/images/10142771641?t=images', 'https://content.avito.ma/classifieds/images/10142770310?t=images', 'https://content.avito.ma/classifieds/images/10142771641?t=images', 'https://content.avito.ma/classifieds/images/10142770310?t=images']"
64,https://www.avito.ma/fr/sidi_bernoussi/voitures_d_occasion/Qashqai_2l_Nkiya_57511900.htm,Qashqai 2l Nkiya,112 000 DH,"['Sidi Bernoussi, Casablanca', 'il y a 21 minutes', 'Sidi Bernoussi, Casablanca', 'il y a 21 minutes']",MED TAHA,"[""Voitures d'occasion, à vendre"", '2011', 'Manuelle', 'Diesel', '255000', 'Nissan', 'Qashqai', 'ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Climatisation', 'Jantes aluminium', 'Ordinateur de bord']","['https://content.avito.ma/classifieds/images/10145113163?t=images', 'https://content.avito.ma/classifieds/images/10145113164?t=images', 'https://content.avito.ma/classifieds/images/10145113163?t=images', 'https://content.avito.ma/classifieds/images/10145113164?t=images']"
65,https://www.avito.ma/fr/najd/voitures_d_occasion/hyundai_tucson_modèle_2018_57283374.htm,hyundai tucson modèle 2018,,"['Najd, El Jadida', 'il y a 22 minutes', 'Najd, El Jadida', 'il y a 22 minutes']",Auto foriz,"[""Voitures d'occasion, à vendre"", '2018', 'Automatique', 'Diesel', '130000', 'Hyundai', 'Tucson', 'ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Caméra de recul', 'Climatisation', 'ESP']","['https://content.avito.ma/classifieds/images/10143187773?t=images', 'https://content.avito.ma/classifieds/images/10143187772?t=images', 'https://content.avito.ma/classifieds/images/10143187773?t=images', 'https://content.avito.ma/classifieds/images/10143187772?t=images']"
66,https://www.avito.ma/fr/ain_sebaa/voitures_d_occasion/Peugeot_208_1_6_HDi_92_Allure_Pack_56171836.htm,Peugeot 208 1.6 HDi 92 Allure Pack,Prix à la baisse119 000 DH,"['Ain Sebaa, Casablanca', 'il y a 22 minutes', 'Ain Sebaa, Casablanca', 'il y a 22 minutes']",otoclic casablanca,"[""Voitures d'occasion, à vendre"", '2018', 'Manuelle', 'Diesel', '95000', 'Peugeot', '208', 'ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Climatisation', 'ESP', 'Jantes aluminium']","['https://content.avito.ma/classifieds/images/10144023103?t=images', 'https://content.avito.ma/classifieds/images/10144023106?t=images', 'https://content.avito.ma/classifieds/images/10144023103?t=images', 'https://content.avito.ma/classifieds/images/10144023106?t=images']"
67,https://www.avito.ma/fr/oued_fès/voitures_de_location/Location_de_voiture_à_partir_de_300_dh_par_jour_55711804.htm,Location de voiture à partir de 300 dh par jour,300 DH,"['Oued Fès, Fès', 'il y a 20 minutes', 'Oued Fès, Fès', 'il y a 20 minutes']",AUTO AMIR FES,"['Voitures de location, à louer']","['https://content.avito.ma/classifieds/images/10127861662?t=images', 'https://content.avito.ma/classifieds/images/10127861658?t=images', 'https://content.avito.ma/classifieds/images/10127861662?t=images', 'https://content.avito.ma/classifieds/images/10127861658?t=images']"
68,https://www.avito.ma/fr/2_mars/voitures_d_occasion/Audi_RS6_Fuul_carbon_57281923.htm,Audi RS6 Fuul carbon,,"['2 Mars, Casablanca', 'il y a 26 minutes', '2 Mars, Casablanca', 'il y a 26 minutes']",Brookline auto,"[""Voitures d'occasion, à vendre"", '2022', 'Automatique', 'Essence', '60000', 'Audi', 'A6']","['https://content.avito.ma/classifieds/images/10144721588?t=images', 'https://content.avito.ma/classifieds/images/10144721589?t=images', 'https://content.avito.ma/classifieds/images/10144721588?t=images', 'https://content.avito.ma/classifieds/images/10144721589?t=images']"
69,https://www.avito.ma/fr/hay_el_fath/voitures_d_occasion/Jaguar_XF_Essence_Automatique_2007_à_Rabat_57504980.htm,Jaguar XF Essence Automatique 2007 à Rabat,,"['Hay el Fath, Rabat', 'il y a 25 minutes', 'Hay el Fath, Rabat', 'il y a 25 minutes']",AutoHammou,"[""Voitures d'occasion, à vendre"", '2007', 'Automatique', 'Essence', '130000', 'Jaguar', 'XF']","['https://content.avito.ma/classifieds/images/10145044632?t=images', 'https://content.avito.ma/classifieds/images/10145044633?t=images', 'https://content.avito.ma/classifieds/images/10145044632?t=images', 'https://content.avito.ma/classifieds/images/10145044633?t=images']"
70,https://www.avito.ma/fr/hay_el_fath/voitures_d_occasion/Fiat_500_Automatique_Essence_2021_à_Rabat_57476769.htm,Fiat 500 Automatique Essence 2021 à Rabat,Prix à la baisse128 000 DH,"['Hay el Fath, Rabat', 'il y a 25 minutes', 'Hay el Fath, Rabat', 'il y a 25 minutes']",ROYALCAR RABAT,"[""Voitures d'occasion, à vendre"", '2021', 'Automatique', 'Essence', '90000', 'Fiat', '500', 'ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Climatisation', 'ESP', 'Limiteur de vitesse']","['https://content.avito.ma/classifieds/images/10145018056?t=images', 'https://content.avito.ma/classifieds/images/10145018062?t=images', 'https://content.avito.ma/classifieds/images/10145018056?t=images', 'https://content.avito.ma/classifieds/images/10145018062?t=images']"
71,https://www.avito.ma/fr/najd/voitures_d_occasion/Kia_Sportage_Diesel_Automatique_2024_à_El_Jadida_57229051.htm,Kia Sportage Diesel Automatique 2024 à El Jadida,,"['Najd, El Jadida', 'il y a 24 minutes', 'Najd, El Jadida', 'il y a 24 minutes']",Auto foriz,"[""Voitures d'occasion, à vendre"", '2024', 'Automatique', 'Diesel', '50000', 'Kia', 'Sportage', 'ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Caméra de recul', 'Climatisation', 'ESP']","['https://content.avito.ma/classifieds/images/10143814230?t=images', 'https://content.avito.ma/classifieds/images/10143814238?t=images', 'https://content.avito.ma/classifieds/images/10143814230?t=images', 'https://content.avito.ma/classifieds/images/10143814238?t=images']"
72,https://www.avito.ma/fr/oasis/voitures_d_occasion/Mercedes_Benz_C_220_d_Facelift_à_Casablanca_55523114.htm,Mercedes-Benz C 220 d Facelift à Casablanca,,"['Oasis, Casablanca', 'il y a 22 minutes', 'Oasis, Casablanca', 'il y a 22 minutes']",oasis cars,"[""Voitures d'occasion, à vendre"", '2019', 'Automatique', 'Diesel', '130000', 'Mercedes-Benz', 'Classe C', 'ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Caméra de recul', 'Climatisation', 'ESP']","['https://content.avito.ma/classifieds/images/10144342846?t=images', 'https://content.avito.ma/classifieds/images/10144342844?t=images', 'https://content.avito.ma/classifieds/images/10144342846?t=images', 'https://content.avito.ma/classifieds/images/10144342844?t=images']"
73,https://www.avito.ma/fr/agdal/voitures_d_occasion/Dacia_Duster_vitesse_automatique_fin_2022_57511896.htm,Dacia Duster vitesse automatique fin 2022,,"['Agdal, Fès', 'il y a 22 minutes', 'Agdal, Fès', 'il y a 22 minutes']",particulier,"[""Voitures d'occasion, à vendre"", '2022', 'Automatique', 'Diesel', '75000', 'Dacia', 'Duster']","['https://content.avito.ma/classifieds/images/10145113140?t=images', 'https://content.avito.ma/classifieds/images/10145113143?t=images', 'https://content.avito.ma/classifieds/images/10145113140?t=images', 'https://content.avito.ma/classifieds/images/10145113143?t=images']"
74,https://www.avito.ma/fr/2_mars/voitures_d_occasion/Mercedes_benz_Classe_c_Avant_gard_57015624.htm,Mercedes-benz Classe c Avant-gard,Prix à la baisse475 000 DH,"['2 Mars, Casablanca', 'il y a 24 minutes', '2 Mars, Casablanca', 'il y a 24 minutes']",Brookline auto,"[""Voitures d'occasion, à vendre"", '2022', 'Automatique', 'Diesel', '140000', 'Mercedes-Benz', 'Classe C']","['https://content.avito.ma/classifieds/images/10141073423?t=images', 'https://content.avito.ma/classifieds/images/10141073416?t=images', 'https://content.avito.ma/classifieds/images/10141073423?t=images', 'https://content.avito.ma/classifieds/images/10141073416?t=images']"
75,https://www.avito.ma/fr/al_maghrib_al_arabi/voitures_d_occasion/Toyota_land_cruiser_56989938.htm,Toyota land cruiser,Prix en hausse260 000 DH,"['Al Maghrib Al Arabi, Kénitra', 'il y a 24 minutes', 'Al Maghrib Al Arabi, Kénitra', 'il y a 24 minutes']",AUTO DOUBLE VOIE,"[""Voitures d'occasion, à vendre"", '2019', 'Manuelle', 'Diesel', '170000', 'Toyota', 'Land Cruiser', 'ABS', 'Airbags', 'CD/MP3/Bluetooth', 'Caméra de recul', 'Climatisation', 'ESP']","['https://content.avito.ma/classifieds/images/10139638542?t=images', 'https://content.avito.ma/classifieds/images/10139638552?t=images', 'https://content.avito.ma/classifieds/images/10139638542?t=images', 'https://content.avito.ma/classifieds/images/10139638552?t=images']"
